post_id,user_id,content_type,post_date,post_time,likes,comments,shares,video_length_sec,campaign_name,Viral_Coefficient
1,101,video,2025-01-05,09:15:00,245,32,18,120,NewYearFit,137.813
2,102,image,2025-01-06,11:30:00,189,14,7,NULL,Wanderlust,94.500
3,103,text,2025-01-07,14:45:00,87,5,2,NULL,MindsetMatters,34.800
4,104,video,2025-01-08,16:20:00,512,78,45,180,TechTrends,295.385
5,105,image,2025-01-09,10:10:00,321,42,21,NULL,TastyBites,160.500
6,106,video,2025-01-10,13:05:00,430,65,32,90,SoundWave,211.692
7,107,text,2025-01-11,08:30:00,112,8,4,NULL,DailyInspo,56.000
8,108,image,2025-01-12,17:45:00,276,35,19,NULL,CreativeMinds,149.829
9,109,video,2025-01-13,12:15:00,398,54,28,150,FitFam2025,206.370
10,110,text,2025-01-14,19:20:00,95,7,3,NULL,DeepThinker,40.714
11,111,video,2025-01-15,14:30:00,587,92,51,210,LaughFactory,325.402
12,112,image,2025-01-16,10:45:00,203,26,12,NULL,PetLovers,93.692
13,113,text,2025-01-17,07:50:00,78,4,1,NULL,WordArt,19.500
14,114,video,2025-01-18,21:10:00,654,105,63,240,GameOn,392.400
15,115,image,2025-01-19,15:20:00,312,38,22,NULL,Trendsetters,180.632
16,116,video,2025-01-20,11:55:00,421,71,37,95,HomeChef,219.394
17,117,text,2025-01-21,09:25:00,103,9,5,NULL,Achievers,57.222
18,118,image,2025-01-22,18:40:00,287,31,17,NULL,ShutterBug,157.387
19,119,video,2025-01-23,13:50:00,376,62,29,175,GadgetGuide,175.871
20,120,text,2025-01-24,08:15:00,91,6,2,NULL,ZenLife,30.333
21,121,video,2025-01-25,16:30:00,543,88,47,195,GlobeTrotter,290.011
22,122,image,2025-01-26,12:05:00,231,29,14,NULL,UrbanSpaces,111.517
23,123,text,2025-01-27,20:45:00,84,5,3,NULL,BookWorm,50.400
24,124,video,2025-01-28,10:20:00,467,73,42,135,Brainiac,268.685
25,125,image,2025-01-29,14:55:00,298,41,23,NULL,SpeedDemons,167.171
26,126,video,2025-01-30,17:10:00,389,67,35,155,YogaFlow,203.209
27,127,text,2025-01-31,07:30:00,97,8,4,NULL,BizGenius,48.500
28,128,image,2025-02-01,19:25:00,265,33,18,NULL,CozyLiving,144.545
29,129,video,2025-02-02,11:40:00,512,84,49,205,StagePresence,298.667
30,130,text,2025-02-03,09:05:00,108,11,6,NULL,EfficientYou,58.909
31,131,video,2025-02-04,15:50:00,476,79,44,165,BeautyGuru,265.114
32,132,image,2025-02-05,13:15:00,243,30,16,NULL,WildPlanet,129.600
33,133,text,2025-02-06,08:40:00,89,7,3,NULL,HeartToHeart,38.143
34,134,video,2025-02-07,21:05:00,598,97,56,225,PixelWarrior,345.237
35,135,image,2025-02-08,16:20:00,324,45,24,NULL,FoodieAdventures,172.800
36,136,video,2025-02-09,12:35:00,432,72,39,140,CodeMaster,234.000
37,137,text,2025-02-10,10:00:00,102,9,5,NULL,HappyHome,56.667
38,138,image,2025-02-11,18:15:00,278,37,20,NULL,CanvasCreator,150.270
39,139,video,2025-02-12,14:30:00,523,86,50,190,NomadLife,304.070
40,140,text,2025-02-13,07:55:00,94,6,2,NULL,MoneyMatters,31.333
41,141,video,2025-02-14,20:20:00,687,113,67,250,JokeCentral,407.336
42,142,image,2025-02-15,11:45:00,256,34,19,NULL,FitJourney,143.059
43,143,text,2025-02-16,09:10:00,86,5,1,NULL,TimeTraveler,17.200
44,144,video,2025-02-17,17:25:00,498,81,46,170,LabCoat,282.815
45,145,image,2025-02-18,13:40:00,301,43,25,NULL,EliteLiving,175.000
46,146,video,2025-02-19,10:05:00,453,75,41,145,VocalStar,247.640
47,147,text,2025-02-20,19:30:00,115,12,7,NULL,CareerBoost,67.083
48,148,video,2025-02-21,15:45:00,678,92,53,150,Style2025,390.587
49,149,image,2025-02-22,13:10:00,234,28,12,NULL,EarthLovers,100.286
50,150,text,2025-02-23,08:35:00,156,19,8,NULL,DailyQuote,65.684
