Day_of_Week,Hour_of_Day,Total_Posts,Total_Shares,Total_Comments,Total_Likes,Total_Engagements,Average_Engagement
Monday,9,1,6,11,108,125,125.0000
Monday,10,1,5,9,102,116,116.0000
Monday,11,2,44,85,610,739,369.5000
Monday,12,1,28,54,398,480,480.0000
Monday,17,1,46,81,498,625,625.0000
Monday,20,1,3,5,84,92,92.0000
Tuesday,9,1,5,9,103,117,117.0000
Tuesday,10,1,42,73,467,582,582.0000
Tuesday,13,1,25,43,301,369,369.0000
Tuesday,14,1,2,5,87,94,94.0000
Tuesday,15,1,44,79,476,599,599.0000
Tuesday,18,1,20,37,278,335,335.0000
Tuesday,19,1,3,7,95,105,105.0000
Wednesday,10,1,41,75,453,569,569.0000
Wednesday,13,1,16,30,243,289,289.0000
Wednesday,14,3,124,219,1408,1751,583.6667
Wednesday,16,1,45,78,512,635,635.0000
Wednesday,18,1,17,31,287,335,335.0000
Thursday,7,1,2,6,94,102,102.0000
Thursday,8,1,3,7,89,99,99.0000
Thursday,10,2,33,68,524,625,312.5000
Thursday,13,1,29,62,376,467,467.0000
Thursday,17,1,35,67,389,491,491.0000
Thursday,19,1,7,12,115,134,134.0000
Friday,7,2,5,12,175,192,96.0000
Friday,8,1,2,6,91,99,99.0000
Friday,13,1,32,65,430,527,527.0000
Friday,15,1,53,92,678,823,823.0000
Friday,20,1,67,113,687,867,867.0000
Friday,21,1,56,97,598,751,751.0000
Saturday,8,1,4,8,112,124,124.0000
Saturday,11,1,19,34,256,309,309.0000
Saturday,13,1,12,28,234,274,274.0000
Saturday,16,2,71,133,867,1071,535.5000
Saturday,19,1,18,33,265,316,316.0000
Saturday,21,1,63,105,654,822,822.0000
Sunday,8,1,8,19,156,183,183.0000
Sunday,9,2,19,37,331,387,193.5000
Sunday,11,1,49,84,512,645,645.0000
Sunday,12,2,53,101,663,817,408.5000
Sunday,15,1,22,38,312,372,372.0000
Sunday,17,1,19,35,276,330,330.0000
